Reksadana,Jenis,Resiko,Price,1M,YTD,1Y,3Y,AUM/VAL
Ricky Putra Globalindo,Saham,Tiggi,Rp75,"-10,71","-32,43","-31,19","-20,21","144,3K"
Rig Tenders,Saham,Tiggi,Rp600,"-0,84","22,92","11,32","72,51","152,3K"
Samudera Indonesia,Saham,Tiggi,Rp292,"-17,16","-12,50","-6,67","48,94","12,25M"
Sekar Bumi,Saham,Tiggi,Rp398,"-9,59","26,11","35,62","-12,00",53K
Sepatu Bata,Saham,Tiggi,Rp50,"-12,28","-64,54","-63,77","-90,10","51,7K"
Smr Utama,Saham,Tiggi,Rp50,"0,00","0,00","0,00","0,00",0
Sona Topas Tourism,Saham,Tiggi,Rp10.300,"207,93","890,20","738,17","83,64",0
Supreme Cable,Saham,Tiggi,Rp2.230,"0,00","8,29","6,67","-78,60",20K
Sunson Textile,Saham,Tiggi,Rp190,"11,76","-61,85","-64,49","-77,78",100
Surya Toto Indonesia,Saham,Tiggi,Rp238,"6,31","3,51","-1,67","11,32","1,36M"
Suryamas Dutamakmur,Saham,Tiggi,Rp520,"5,26","168,04","176,60","169,43","207,7K"
Tifico Fiber Indonesia,Saham,Tiggi,Rp635,"0,00","-5,22","-5,22","-7,97",0
Tigaraksa Satria,Saham,Tiggi,Rp6.500,"-3,70","0,78","-2,62","-7,14",2K
Trans Power Marine,Saham,Tiggi,Rp670,"-9,72","-7,80","-0,76","61,69","4,72M"
Trias Sentosa,Saham,Tiggi,Rp498,"0,00","-17,00","-2,35","-16,30","10,5K"
Trikomsel Oke,Saham,Tiggi,Rp426,"0,00","0,00","0,00","0,00",0
Abm Investama,Saham,Tiggi,Rp3.700,"-12,96","4,71","4,71","151,59","536,4K"
Aspirasi Hidup Indonesia Tbk PT,Saham,Tiggi,Rp830,"-10,75","15,28","1,22","-38,75","28,6M"
Acset Indonusa,Saham,Tiggi,Rp112,"-4,59","-23,53","-38,82","-59,69","8,38M"
Adaro Energy,Saham,Tiggi,Rp3.750,"-1,34","55,04","41,38","124,32","80,25M"
Adhi Karya Persero,Saham,Tiggi,Rp274,"-11,41","-15,38","-34,65","-74,14","31,72M"
Adi Sarana Armada,Saham,Tiggi,Rp730,"-8,23","-8,23","-16,18","-79,86","2,75M"
Adira Dinamika,Saham,Tiggi,Rp10.525,"-6,08","-4,79","-1,88","32,38","129,2K"
Agung Podomoro,Saham,Tiggi,Rp112,"-20,59","-16,28","-15,62","-21,17","6,81M"
Akasha Wira,Saham,Tiggi,Rp9.950,"-13,59","0,26","8,08","239,16","128,8K"
Artha Mahiya Investama Tbk PT,Saham,Tiggi,Rp426,"-33,44","-51,63","30,00","-18,43","3,03M"
Akr Corporindo,Saham,Tiggi,Rp1.340,"-7,96","-9,83","-8,59","59,09","4,28M"
Alam Sutera Realty,Saham,Tiggi,Rp166,"-31,93","-1,22","-2,99","-11,96","46,18M"
Alkindo Naratama,Saham,Tiggi,Rp575,"11,90","-40,32","-24,49","-29,44","36,2K"
Alumindo,Saham,Tiggi,Rp76,"-8,64","-61,46","-62,81","-69,42",0
Ancora Indonesia,Saham,Tiggi,Rp118,"-7,20","24,73","12,62","41,46","1,1M"
Aneka Tambang Persero,Saham,Tiggi,Rp1.510,"-13,02","-13,78","-9,26","-38,49","63,72M"
Apexindo Pratama Duta,Saham,Tiggi,Rp138,"-15,00","-18,07","-35,24","-75,27","1,08M"
Arita Prima Indonesia,Saham,Tiggi,Rp177,"-0,56","-5,35","-8,76","-4,84",500
Arthavest,Saham,Tiggi,Rp2.350,"-8,98","-22,33","16,50","21,99","40,3K"
Arwana Citramulia,Saham,Tiggi,Rp755,"-3,25","12,03","4,93","-12,35","2,17M"
Asuransi Dayin Mitra,Saham,Tiggi,Rp498,"-2,00","4,26","-2,97","-48,42","6,5K"
Multi Artha Guna,Saham,Tiggi,Rp342,"-2,86","17,24","9,68","0,00","26,6K"
Asuransi Ramayana,Saham,Tiggi,Rp370,"-4,76","-7,99","-12,46","-78,05","10,8K"
Asahimas Flat Glass,Saham,Tiggi,Rp4.620,"-1,92","-22,03","-21,37","-2,34","10,5K"
Asia Pacific Fibers,Saham,Tiggi,Rp18,"-14,29","-64,00","-64,00","-70,00","25,9K"
Asiaplast Industries,Saham,Tiggi,Rp550,"-8,47","-10,00","2,86","170,00",2K
Astra Agro Lestari,Saham,Tiggi,Rp6.275,"-7,81","-11,74","-11,74","-40,53","955,4K"
Astra Graphia,Saham,Tiggi,Rp880,"1,16","-2,23","-5,41","10,76","1,15M"
Astra International,Saham,Tiggi,Rp5.025,"-1,96","-11,50","-13,42","-19,68","18,63M"
Astra Otoparts,Saham,Tiggi,Rp2.350,"-2,93","-1,69","-15,02","76,43","1,01M"
