Reksadana,Jenis,Resiko,Price,1M,1Y,3Y,AUM/VAL
Plaza Indonesia Realty,Saham,Tiggi,Rp2.600,-1.89,-9.72,6.12,200
Bakrie & Brothers,Saham,Tiggi,Rp49,17.07,-4.00,-4,"2,37M"
Bank Victoria,Saham,Tiggi,Rp97,-1.04,5.56,-46.02,"9,01M"
Lionmesh Prima,Saham,Tiggi,Rp420,11.11,-6.67,-40.85,0
Adira Dinamika,Saham,Tiggi,Rp10.525,-6.08,-1.88,32.38,"129,2K"
Pelayaran Nelly,Saham,Tiggi,Rp466,8.7,-7.60,68.61,"1,47M"
Fajar Surya Wisesa,Saham,Tiggi,Rp5.500,-6.78,-5.58,-27.63,100
Graha Layar Prima,Saham,Tiggi,Rp2.000,-4.76,-4.31,-37.5,0
Tifico Fiber Indonesia,Saham,Tiggi,Rp635,0.00,-5.22,-7.97,0
Arita Prima Indonesia,Saham,Tiggi,Rp177,-5.6,-8.76,-4.84,500
Duta Pertiwi,Saham,Tiggi,Rp4.370,-6.8,-2.46,30.45,300
